id,Country,League_ID,League,Team,Average_Age,Currency,Market_Value,Lat,Long,Rk,MP,W,D,L,GF,GA,GD,Pts,Pts_per_Match
281,England,GB1,Premier League,Manchester City,27.20,€,1048750000,52.5310214,-1.2649062,2,24,16,4,4,60,24,36,52,2.17
631,England,GB1,Premier League,Chelsea,25.50,€,1046500000,52.5310214,-1.2649062,10,23,8,7,8,23,23,0,31,1.35
27,Deutschland,L1,Bundesliga,Bayern Munich,26.70,€,995700000,51.1638175,10.4478313,1,21,12,7,2,61,21,40,43,2.05
31,England,GB1,Premier League,Liverpool,27.00,€,931000000,52.5310214,-1.2649062,8,22,10,5,7,38,28,10,35,1.59
583,Frankreich,FR1,Ligue 1,Paris S-G,25.60,€,889050000,46.603354,1.8883335,1,23,17,3,3,55,20,35,54,2.35
418,Spanien,ES1,LaLiga,Real Madrid,28.30,€,849000000,39.3260685,-4.8379791,2,22,16,3,3,46,17,29,51,2.32
11,England,GB1,Premier League,Arsenal,25.60,€,803000000,52.5310214,-1.2649062,1,23,17,3,3,51,23,28,54,2.35
11,England,GB1,Premier League,Arsenal,25.60,€,803000000,52.5310214,-1.2649062,27,4,0,1,3,2,7,-5,1,0.25
131,Spanien,ES1,LaLiga,Barcelona,25.70,€,762000000,39.3260685,-4.8379791,1,21,18,2,1,43,7,36,56,2.67
985,England,GB1,Premier League,Manchester Utd,26.20,€,759200000,52.5310214,-1.2649062,3,23,14,4,5,38,28,10,46,2.0
148,England,GB1,Premier League,Tottenham,27.00,€,711300000,52.5310214,-1.2649062,5,23,12,3,8,42,35,7,39,1.7
5,Italien,IT1,Serie A,Milan,27.10,€,571400000,42.6384261,12.674297,3,23,13,5,5,39,30,9,44,1.91
46,Italien,IT1,Serie A,Inter,28.60,€,555950000,42.6384261,12.674297,2,23,15,2,6,44,27,17,47,2.04
6195,Italien,IT1,Serie A,Napoli,26.50,€,543000000,42.6384261,12.674297,1,23,20,2,1,56,15,41,62,2.7
16,Deutschland,L1,Bundesliga,Dortmund,24.90,€,522700000,51.1638175,10.4478313,3,20,13,1,6,40,26,14,40,2.0
23826,Deutschland,L1,Bundesliga,RB Leipzig,25.80,€,493300000,51.1638175,10.4478313,5,21,11,6,4,43,26,17,39,1.86
13,Spanien,ES1,LaLiga,Atlético Madrid,28.80,€,489000000,39.3260685,-4.8379791,4,21,11,5,5,30,17,13,38,1.81
762,England,GB1,Premier League,Newcastle Utd,27.60,€,474400000,52.5310214,-1.2649062,4,23,10,11,2,35,15,20,41,1.78
379,England,GB1,Premier League,West Ham,28.50,€,471500000,52.5310214,-1.2649062,18,22,5,5,12,19,27,-8,20,0.91
1003,England,GB1,Premier League,Leicester City,27.30,€,455100000,52.5310214,-1.2649062,14,22,7,3,12,36,38,-2,24,1.09
405,England,GB1,Premier League,Aston Villa,27.50,€,445800000,52.5310214,-1.2649062,11,23,8,4,11,28,38,-10,28,1.22
506,Italien,IT1,Serie A,Juventus,27.40,€,442300000,42.6384261,12.674297,11,22,13,5,4,34,17,17,44,2.0
15,Deutschland,L1,Bundesliga,Leverkusen,25.40,€,416350000,51.1638175,10.4478313,9,20,8,3,9,33,32,1,27,1.35
543,England,GB1,Premier League,Wolves,26.40,€,393700000,52.5310214,-1.2649062,15,23,6,5,12,17,32,-15,23,1.0
180,England,GB1,Premier League,Southampton,25.70,€,387500000,52.5310214,-1.2649062,20,23,5,3,15,19,40,-21,18,0.78
681,Spanien,ES1,LaLiga,Real Sociedad,25.90,€,380500000,39.3260685,-4.8379791,3,22,13,4,5,32,22,10,43,1.95
29,England,GB1,Premier League,Everton,27.70,€,368100000,52.5310214,-1.2649062,16,23,5,6,12,17,30,-13,21,0.91
12,Italien,IT1,Serie A,Roma,26.40,€,338750000,42.6384261,12.674297,5,22,12,5,5,29,19,10,41,1.86
703,England,GB1,Premier League,Nott'ham Forest,28.20,€,332650000,52.5310214,-1.2649062,13,23,6,7,10,18,38,-20,25,1.09
273,Frankreich,FR1,Ligue 1,Rennes,24.80,€,319500000,46.603354,1.8883335,6,23,12,4,7,42,28,14,40,1.74
873,England,GB1,Premier League,Crystal Palace,27.50,€,309200000,52.5310214,-1.2649062,12,23,6,8,9,21,31,-10,26,1.13
1237,England,GB1,Premier League,Brighton,25.20,€,308600000,52.5310214,-1.2649062,7,22,10,5,7,39,29,10,35,1.59
800,Italien,IT1,Serie A,Atalanta,26.80,€,307500000,42.6384261,12.674297,4,22,12,5,5,41,24,17,41,1.86
162,Monaco,FR1,Ligue 1,Monaco,24.50,€,306400000,43.7323492,7.4276832,3,23,14,5,4,51,30,21,47,2.04
1148,England,GB1,Premier League,Brentford,26.10,€,305100000,52.5310214,-1.2649062,9,23,8,11,4,37,30,7,35,1.52
399,England,GB1,Premier League,Leeds United,25.90,€,295000000,52.5310214,-1.2649062,19,23,4,7,12,28,39,-11,19,0.83
1050,Spanien,ES1,LaLiga,Villarreal,29.00,€,289700000,39.3260685,-4.8379791,9,22,9,4,9,24,22,2,31,1.41
294,Portugal,PO1,Liga Portugal,Benfica,25.60,€,277500000,39.6621648,-8.1353519,1,20,17,2,1,51,12,39,53,2.65
610,Niederlande,NL1,Eredivisie,Ajax,25.40,€,274850000,52.2434979,5.6343227,3,21,12,7,2,59,22,37,43,2.05
24,Deutschland,L1,Bundesliga,Eint Frankfurt,25.50,€,267950000,51.1638175,10.4478313,6,21,11,5,5,42,29,13,38,1.81
398,Italien,IT1,Serie A,Lazio,27.20,€,264400000,42.6384261,12.674297,6,22,11,6,5,37,19,18,39,1.77
720,Portugal,PO1,Liga Portugal,Porto,26.90,€,264200000,39.6621648,-8.1353519,2,21,16,3,2,48,12,36,51,2.43
150,Spanien,ES1,LaLiga,Sevilla,29.20,€,262500000,39.3260685,-4.8379791,12,21,6,6,9,23,29,-6,24,1.14
1049,Spanien,ES1,LaLiga,Valencia,25.40,€,249500000,39.3260685,-4.8379791,18,21,5,5,11,26,26,0,20,0.95
931,England,GB1,Premier League,Fulham,28.40,€,245500000,52.5310214,-1.2649062,6,24,11,5,8,35,30,5,38,1.58
244,Frankreich,FR1,Ligue 1,Marseille,26.80,€,241200000,46.603354,1.8883335,2,23,15,4,4,45,20,25,49,2.13
368,Spanien,ES1,LaLiga,Sevilla,29.00,€,240000000,39.3260685,-4.8379791,12,21,6,6,9,23,29,-6,24,1.14
430,Italien,IT1,Serie A,Fiorentina,26.70,€,235750000,42.6384261,12.674297,14,22,6,6,10,23,29,-6,24,1.09
18,Deutschland,L1,Bundesliga,M'Gladbach,26.10,€,233000000,51.1638175,10.4478313,8,21,8,5,8,38,35,3,29,1.38
336,Portugal,PO1,Liga Portugal,Sporting CP,24.70,€,228300000,39.6621648,-8.1353519,4,20,12,2,6,40,21,19,38,1.9
989,England,GB1,Premier League,Bournemouth,26.80,€,226700000,52.5310214,-1.2649062,17,23,5,6,12,21,44,-23,21,0.91
409,Österreich,A1,Bundesliga,RB Salzburg,22.40,€,223325000,47.59397,14.12456,1,17,13,3,1,37,9,28,42,2.47
621,Spanien,ES1,LaLiga,Athletic Club,28.10,€,221800000,39.3260685,-4.8379791,7,21,9,5,7,31,22,9,32,1.52
417,Frankreich,FR1,Ligue 1,Nice,24.80,€,202800000,46.603354,1.8883335,7,24,10,8,6,30,21,9,38,1.58
1041,Frankreich,FR1,Ligue 1,Lyon,25.50,€,199800000,46.603354,1.8883335,9,24,10,5,9,36,27,9,35,1.46
82,Deutschland,L1,Bundesliga,Wolfsburg,24.80,€,188200000,51.1638175,10.4478313,7,21,8,6,7,38,29,9,30,1.43
1082,Frankreich,FR1,Ligue 1,Lille,26.20,€,185700000,46.603354,1.8883335,5,23,12,5,6,40,27,13,41,1.78
383,Niederlande,NL1,Eredivisie,PSV Eindhoven,25.60,€,184350000,52.2434979,5.6343227,4,21,13,3,5,55,25,30,42,2.0
36,Türkei,TR1,Süper Lig,Fenerbahçe,27.10,€,177300000,38.9597594,34.9249653,2,21,14,3,4,52,24,28,45,2.14
6574,Italien,IT1,Serie A,Sassuolo,26.10,€,177100000,42.6384261,12.674297,15,23,6,6,11,26,35,-9,24,1.04
2282,Belgien,BE1,Jupiler Pro League,Club Brugge,24.80,€,173750000,50.6402809,4.6667145,4,25,11,9,5,43,30,13,42,1.68
533,Deutschland,L1,Bundesliga,Hoffenheim,26.10,€,170950000,51.1638175,10.4478313,15,21,5,4,12,29,40,-11,19,0.9
826,Frankreich,FR1,Ligue 1,Lens,25.90,€,168300000,46.603354,1.8883335,4,23,13,7,3,35,18,17,46,2.0
141,Türkei,TR1,Süper Lig,Galatasaray,26.30,€,168250000,38.9597594,34.9249653,1,22,17,3,2,47,17,30,54,2.45
614,Brasilien,BRCG,Campeonato Carioca - Taça Guanabara,Flamengo,27.40,€,161700000,-10.3333333,-53.2,5,38,18,8,12,60,39,21,62,1.63
60,Deutschland,L1,Bundesliga,Freiburg,26.60,€,161625000,51.1638175,10.4478313,4,21,12,4,5,34,31,3,40,1.9
416,Italien,IT1,Serie A,Torino,24.90,€,154525000,42.6384261,12.674297,8,22,8,6,8,22,23,-1,30,1.36
964,Russland,RU1,Premier Liga,Zenit,26.70,€,153800000,64.6863136,97.7453061,1,17,13,3,1,47,7,40,42,2.47
234,Niederlande,NL1,Eredivisie,Feyenoord,24.00,€,149300000,52.2434979,5.6343227,1,22,14,7,1,49,20,29,49,2.23
449,Türkei,TR1,Süper Lig,Trabzonspor,26.50,€,142900000,38.9597594,34.9249653,6,22,11,5,6,34,29,5,38,1.73
3709,Spanien,ES1,LaLiga,Getafe,28.00,€,142200000,39.3260685,-4.8379791,19,21,4,7,10,18,28,-10,19,0.9
410,Italien,IT1,Serie A,Udinese,25.40,€,140150000,42.6384261,12.674297,9,23,7,9,7,31,28,3,30,1.3
124,Schottland,SC1,Scottish Premiership,Rangers,27.10,€,138950000,56.7861112,-4.1140518,2,26,20,4,2,61,23,38,64,2.46
1023,Brasilien,BCP1,Campeonato Paulista - Série A1 - Grunddurchgang,Palmeiras,25.90,€,133800000,-10.3333333,-53.2,1,38,23,12,3,66,27,39,81,2.13
1010,England,GB2,Championship,Watford,26.60,€,125550000,52.5310214,-1.2649062,8,32,12,11,9,38,35,3,47,1.47
940,Spanien,ES1,LaLiga,Celta Vigo,27.50,€,125500000,39.3260685,-4.8379791,13,22,6,6,10,23,34,-11,24,1.09
1025,Italien,IT1,Serie A,Bologna,25.90,€,125100000,42.6384261,12.674297,7,23,9,5,9,30,33,-3,32,1.39
331,Spanien,ES1,LaLiga,Osasuna,28.50,€,124200000,39.3260685,-4.8379791,10,22,8,6,8,19,21,-2,30,1.36
